ID,Ime,Nacionalnost,Letnica_rojstva,Visina,Klub,Drugi_klub,G,GS,Min,Tocke,DvaFG,TriFG,FT
005938,"ANDERSON, JAMES",United States of America,1989,1.98,Darussafaka Dogus Istanbul,,34,20,22:28,9.2,46.3%,34.6%,67.3%
001844,"HACKETT, DANIEL",Italy,1987,1.97,Olympiacos Piraeus,,11,0,14:34,5,39.4%,26.7%,77.3%
007434,"HOLMES, JONATHAN",United States of America,1992,2.04,FC Barcelona Lassa,,7,2,12:46,5.1,63.6%,33.3%,83.3%
001392,"CAUSEUR, FABIEN",France,1987,1.95,Brose Bamberg,,29,29,25:16,9.9,62.5%,34.7%,77.6%
006420,"HECKMANN, PATRICK",Germany,1992,1.98,Brose Bamberg,,28,6,12:27,3,38.2%,48.5%,69.2%
003240,"BOCHORIDIS, ELEFTHERIOS",Greece,1994,1.96,Panathinaikos Superfoods Athens,,7,0,4:07,1.7,20%,75%,50%
004425,"BROWN, DERRICK",United States of America,1987,2.03,Anadolu Efes Istanbul,,35,35,29:17,12.3,53.2%,29.3%,76.7%
003479,"KUZMIC, OGNJEN",Serbia,1990,2.14,Crvena Zvezda mts Belgrade,,30,30,20:41,9.4,54.9%,0%,70.7%
007182,"BIRCH, KHEM",Canada,1992,2.06,Olympiacos Piraeus,,37,21,18:06,7.3,62.4%,0%,64.3%
000925,"VESELY, JAN",Czech Republic,1990,2.13,Fenerbahce Istanbul,,34,26,24:27,9.6,57%,0%,55.7%
006657,"MILLER, QUINCY",United States of America,1992,2.06,Maccabi FOX Tel Aviv,,4,3,19:19,7,31.6%,36.4%,100%
003453,"THOMPSON, DEON",United States of America,1988,2.03,Crvena Zvezda mts Belgrade,,26,0,11:02,4.3,52.8%,0%,54.8%
004170,"BATUK, BIRKAN",Turkey,1990,1.96,Darussafaka Dogus Istanbul,,32,2,12:30,2.7,54.2%,29.8%,62.5%
JEA,"MACVAN, MILAN",Serbia,1989,2.05,EA7 Emporio Armani Milan,,28,24,22:23,8.4,53.4%,37.5%,79.5%
005160,"HUNTER, OTHELLO",United States of America,1986,2.03,Real Madrid,,35,0,16:41,7.6,65.5%,0%,68.3%
004119,"TYUS, ALEX",Israel,1988,2.03,Galatasaray Odeabank Istanbul,,30,10,19:39,10,68.6%,0%,55.3%
007356,"SMITH, RUSS",United States of America,1991,1.83,Galatasaray Odeabank Istanbul,,7,1,9:18,7,42.4%,16.7%,68.2%
JLX,"KURBANOV, NIKITA",Russian Federation,1986,2.02,CSKA Moscow,,35,29,19:10,6.1,48.9%,33.3%,89.4%
JBX,"KALNIETIS, MANTAS",Lithuania,1986,1.95,EA7 Emporio Armani Milan,,26,9,19:24,7.2,49.4%,36.8%,66.7%
004866,"KALINIC, NIKOLA",Serbia,1991,2.02,Fenerbahce Istanbul,,33,20,23:57,7.5,56.1%,34.7%,83.7%
006338,"McNEAL, JEREL",United States of America,1987,1.91,Brose Bamberg,,15,0,15:01,3.9,53.8%,30.8%,63.6%
006919,"OLINDE, LOUIS",Germany,1998,2.05,Brose Bamberg,,1,0,8:06,2,50%,0%,0%
JAN,"PONKRASHOV, ANTON",Russian Federation,1986,2.00,Unics Kazan,,10,3,20:18,6.4,42.5%,40.9%,50%
002104,"KOKSAL, GOKSENIN",Turkey,1991,1.96,Galatasaray Odeabank Istanbul,,28,17,14:31,3.5,36.8%,40.5%,50%
KIW,"CINCIARINI, ANDREA",Italy,1986,1.93,EA7 Emporio Armani Milan,,23,9,18:29,5.5,53.4%,25%,70%
JDR,"TEODOSIC, MILOS",Serbia,1987,1.95,CSKA Moscow,,29,6,27:37,16.1,55%,38.1%,89.7%
006536,"RUDD, VICTOR",United States of America,1991,2.05,Maccabi FOX Tel Aviv,,30,20,25:50,10.1,51.7%,36.4%,78.1%
005800,"HONEYCUTT, TYLER",United States of America,1990,2.03,Anadolu Efes Istanbul,,35,1,24:30,9.2,46.7%,30.3%,68%
002849,"MELLI, NICOLO",Italy,1991,2.05,Brose Bamberg,,30,30,29:13,11.5,53.5%,43.4%,74%
005846,"HARTENSTEIN, ISAIAH",Germany,1998,2.10,Zalgiris Kaunas,,5,0,3:10,1,66.7%,0%,100%
005985,"JAMES, MIKE",United States of America,1990,1.85,Panathinaikos Superfoods Athens,,25,1,22:40,13.1,58.7%,34%,68.8%
002081,"CERELLA, BRUNO",Italy,1986,1.94,EA7 Emporio Armani Milan,,5,0,9:53,1.6,0%,33.3%,66.7%
001972,"OLESON, BRAD",Spain,1983,1.91,FC Barcelona Lassa,,24,18,21:38,5.3,68.2%,34.5%,80%
BCQ,"KHRYAPA, VICTOR",Russian Federation,1982,2.03,CSKA Moscow,,32,11,13:36,3.8,47.5%,18.4%,82.1%
003328,"ALDEMIR, FURKAN",Turkey,1991,2.07,Darussafaka Dogus Istanbul,,30,6,9:43,1.6,37.5%,0%,48.1%
005000,"ULUBAY, OKBEN",Turkey,1996,2.01,Darussafaka Dogus Istanbul,,2,0,1:37,0,0%,0%,0%
005838,"WANAMAKER, BRAD",United States of America,1989,1.93,Darussafaka Dogus Istanbul,,34,33,33:28,16.7,48.2%,38.6%,86.4%
004178,"KOPONEN, PETTERI",Finland,1988,1.94,FC Barcelona Lassa,,27,3,22:35,10.1,38.4%,46.2%,91.5%
005813,"ARAR, EGE",Turkey,1996,2.08,Galatasaray Odeabank Istanbul,,10,1,11:29,2.2,43.5%,0%,100%
002329,"ULANOVAS, EDGARAS",Lithuania,1992,1.98,Zalgiris Kaunas,,30,16,24:23,7.7,51.3%,38.1%,87.7%
KRH,"PERPEROGLOU, STRATOS",Greece,1984,2.03,FC Barcelona Lassa,,22,15,20:53,6.4,39.5%,35.8%,68.2%
006590,"BEAUBOIS, RODRIGUE",France,1988,1.90,Baskonia Vitoria Gasteiz,,30,12,20:15,11.7,53.6%,38%,87%
002812,"HINES, KYLE",United States of America,1986,1.98,CSKA Moscow,,35,23,20:27,8.5,65%,0%,70.2%
004004,"GUDURIC, MARKO",Serbia,1995,1.96,Crvena Zvezda mts Belgrade,,29,4,18:47,7.8,48.8%,30.4%,85.9%
003783,"UGURLU, BERK",Turkey,1996,1.92,Fenerbahce Istanbul,,7,0,4:19,0.3,0%,0%,100%
